y_tot,edad,grado_esc,hora_delito_12_6,hora_delito_12_18,hora_delito_18_24,lugar_delito_otro,lugar_delito_calle,lugar_delito_negocio_est,lugar_delito_carretera,lugar_delito_transporte_pub,lugar_delito_trabajo,lugar_delito_lug_publico,si_vic_acompanada,si_delinc_desconocidos,no_delinc_desconocidos,si_delinc_con_vista,si_delinc_con_pocotrat,si_delinc_con_cercano,si_delinc_familiares,si_no_sabe,si_arma,si_violencia_fisica,si_acudio_mp,tiempo_viv_6_12,tiempo_viv_mas_12,seguro_en_casa_seguro,seguro_en_trabajo,seguro_en_calle,seguro_transp_pub,na_seguro_transp_pub,conf_vecinos_mucha,conf_vecinos_nada,conf_vecinos_alguna,conf_companeros_mucho,conf_companeros_nada,conf_companeros_alguna,conf_familiares_mucha,conf_familiares_nada,conf_familiares_alguna,conf_amigos_mucha,conf_amigos_nada,conf_amigos_alguna,TDPAREN_1_jefe, TDPAREN_4_padre,TDPAREN_6_sin_parentesco,TDPAREN_2_esposo,TDPAREN_5_otro
1,0.027004814,0.006481155,0.000540096,0,0,0,0.000540096,0,0,0,0,0,0,0.000540096,0,0,0,0,0,0,0.000540096,0,0,0,0.000540096,0,0,0,0,0,0,0.000540096,0,0,0,0,0,0,0.000540096,0,0,0.000540096,0.000540096,0,0,0,0
0,0.039512307,0.014602374,0,0.000858963,0,0,0,0,0,0,0.000858963,0,0,0,0.000858963,0.000858963,0,0,0,0,0,0,0,0,0.000858963,0.000858963,0.000858963,0.000858963,0.000858963,0,0,0,0.000858963,0,0,0.000858963,0.000858963,0,0,0,0,0.000858963,0.000858963,0,0,0,0
1,0.017238588,0.002350717,0,0,0.000391786,0,0.000391786,0,0,0,0,0,0.000391786,0,0.000391786,0,0,0,0.000391786,0,0,0,0,0,0.000391786,0,0,0,0,0,0,0.000391786,0,0,0,0,0,0,0,0,0.000391786,0,0,0,0,0.000391786,0
1,0.01134573,0.002002188,0,0.000333698,0,0,0.000333698,0,0,0,0,0,0,0,0.000333698,0.000333698,0,0,0,0,0,0,0,0,0.000333698,0,0.000333698,0,0,0,0,0,0,0,0,0,0.000333698,0,0,0,0,0,0.000333698,0,0,0,0
1,0.01134573,0.002002188,0,0,0.000333698,0,0,0,0,0,0,0,0.000333698,0,0.000333698,0.000333698,0,0,0,0,0,0.000333698,0,0,0.000333698,0,0.000333698,0,0,0,0,0,0,0,0,0,0.000333698,0,0,0,0,0,0.000333698,0,0,0,0
1,0.005344111,0.003949995,0,0,0,0,0,0,0,0,0,0,0,0,0.000232353,0,0,0.000232353,0,0,0,0.000232353,0,0,0.000232353,0.000232353,0.000232353,0,0,0,0,0.000232353,0,0.000232353,0,0,0.000232353,0,0,0,0,0,0.000232353,0,0,0,0
1,0.011835153,0.003804156,0,0,0.000422684,0,0,0,0,0,0,0,0.000422684,0,0.000422684,0,0,0,0.000422684,0,0,0.000422684,0.000422684,0,0.000422684,0,0.000422684,0,0,0,0,0,0,0,0,0.000422684,0.000422684,0,0,0,0,0,0.000422684,0,0,0,0
1,0.013780489,0.004960976,0,0.00055122,0,0,0,0,0,0,0,0,0.00055122,0,0.00055122,0.00055122,0,0,0,0,0,0,0,0,0.00055122,0.00055122,0.00055122,0,0,0,0,0.00055122,0,0,0,0,0.00055122,0,0,0,0,0,0,0,0,0.00055122,0
0,0.007959314,0.005882971,0,0,0,0,0,0,0,0,0,0,0.000346057,0,0.000346057,0,0,0,0.000346057,0,0,0,0,0,0.000346057,0.000346057,0.000346057,0,0.000346057,0,0,0.000346057,0,0,0,0.000346057,0.000346057,0,0,0.000346057,0,0,0,0,0,0,0.000346057
1,0.008619294,0.003526075,0,0.000391786,0,0,0.000391786,0,0,0,0,0,0.000391786,0,0.000391786,0,0.000391786,0,0,0,0.000391786,0,0,0,0,0.000391786,0,0.000391786,0,0,0,0,0,0,0,0,0.000391786,0,0,0,0,0.000391786,0,0,0,0.000391786,0
1,0.008619294,0.003526075,0,0,0.000391786,0,0.000391786,0,0,0,0,0,0,0,0.000391786,0,0.000391786,0,0,0,0,0,0,0,0,0.000391786,0,0.000391786,0,0,0,0,0,0,0,0,0.000391786,0,0,0,0,0.000391786,0,0,0,0.000391786,0
0,0.048344179,0.003767079,0,0,0,0,0.000627846,0,0,0,0,0,0,0,0.000627846,0,0.000627846,0,0,0,0,0,0,0,0.000627846,0.000627846,0,0.000627846,0.000627846,0,0,0,0,0,0,0,0,0,0.000627846,0,0.000627846,0,0,0,0,0.000627846,0
1,0.016239966,0.00487199,0,0,0.000541332,0,0,0,0,0,0,0,0.000541332,0,0.000541332,0,0,0,0.000541332,0,0.000541332,0.000541332,0,0,0.000541332,0.000541332,0,0,0,0,0,0,0,0,0,0,0.000541332,0,0,0,0,0,0.000541332,0,0,0,0
1,0.010549798,0.004315827,0,0.000479536,0,0,0.000479536,0,0,0,0,0,0.000479536,0,0.000479536,0.000479536,0,0,0,0,0,0,0,0,0.000479536,0.000479536,0,0,0.000479536,0,0,0,0,0,0,0,0.000479536,0,0,0,0,0,0,0,0,0.000479536,0
1,0.007912349,0.002157913,0,0,0.000239768,0,0,0,0,0.000239768,0,0,0.000239768,0,0.000239768,0.000239768,0,0,0,0,0,0,0,0,0.000239768,0,0.000239768,0,0,0,0,0,0.000239768,0,0,0.000239768,0,0.000239768,0,0,0,0.000239768,0,0,0,0.000239768,0
1,0.012902987,0.002580597,0,0,0.000286733,0,0,0,0,0,0,0,0.000286733,0,0.000286733,0.000286733,0,0,0,0,0.000286733,0,0,0,0.000286733,0,0.000286733,0,0,0,0.000286733,0,0,0.000286733,0,0,0.000286733,0,0,0.000286733,0,0,0.000286733,0,0,0,0
1,0.01557257,0.005005469,0,0.000556163,0,0,0,0,0,0,0,0,0,0,0.000556163,0,0,0.000556163,0,0,0,0,0,0,0.000556163,0,0,0,0,0,0,0.000556163,0,0,0,0,0.000556163,0,0,0.000556163,0,0,0.000556163,0,0,0,0
1,0.01557257,0.005005469,0,0,0,0,0,0,0,0,0,0,0,0,0.000556163,0,0,0.000556163,0,0,0,0,0,0,0.000556163,0,0,0,0,0,0,0.000556163,0,0,0,0,0.000556163,0,0,0.000556163,0,0,0.000556163,0,0,0,0
1,0.01557257,0.005005469,0,0,0,0,0,0,0,0,0.000556163,0,0,0,0.000556163,0,0,0.000556163,0,0,0,0,0.000556163,0,0.000556163,0,0,0,0,0,0,0.000556163,0,0,0,0,0.000556163,0,0,0.000556163,0,0,0.000556163,0,0,0,0
1,0.002075107,0.001082664,0,0,0,0,9.02E-05,0,0,0,0,0,0,9.02E-05,0,0,0,0,0,0,0,0,0,0,9.02E-05,9.02E-05,9.02E-05,9.02E-05,0,0,0,9.02E-05,0,0,0,9.02E-05,9.02E-05,0,0,9.02E-05,0,0,0,0,0,0,9.02E-05
1,0.002135667,0.000711889,0,0,7.91E-05,0,7.91E-05,0,0,0,0,0,0,0,7.91E-05,0,7.91E-05,0,0,0,0,0,0,0,0,7.91E-05,0,0,0,0,0,7.91E-05,0,0,0,0,0,0,0,0,7.91E-05,0,7.91E-05,0,0,0,0
1,0.025160824,0.005806344,0,0.000645149,0,0,0.000645149,0,0,0,0,0,0,0.000645149,0,0,0,0,0,0,0,0,0,0,0.000645149,0,0,0.000645149,0,0,0.000645149,0,0,0,0,0,0.000645149,0,0,0.000645149,0,0,0,0,0,0.000645149,0
1,0.010233403,0.002002188,0,0.000222465,0,0,0,0,0,0,0,0.000222465,0.000222465,0,0.000222465,0,0.000222465,0,0,0,0,0,0,0,0.000222465,0.000222465,0.000222465,0,0,0,0.000222465,0,0,0,0.000222465,0,0.000222465,0,0,0,0,0.000222465,0,0,0,0.000222465,0
1,0.022543149,0.002254315,0,0.000375719,0,0,0,0,0,0,0.000375719,0,0.000375719,0.000375719,0,0,0,0,0,0,0,0.000375719,0,0,0.000375719,0.000375719,0.000375719,0,0,0,0.000375719,0,0,0,0,0.000375719,0,0,0.000375719,0,0,0.000375719,0.000375719,0,0,0,0
1,0.008898611,0.0032035,0,0.000355944,0,0,0,0,0,0,0,0.000355944,0,0,0.000355944,0.000355944,0,0,0,0,0,0.000355944,0,0.000355944,0,0.000355944,0.000355944,0.000355944,0.000355944,0,0,0.000355944,0,0,0,0,0,0.000355944,0,0.000355944,0,0,0.000355944,0,0,0,0
1,0.031423222,0.006982938,0,0.000698294,0,0,0.000698294,0,0,0,0,0,0,0,0.000698294,0.000698294,0,0,0,0,0,0,0,0,0.000698294,0,0,0,0,0,0,0,0,0.000698294,0,0,0,0,0,0,0,0,0.000698294,0,0,0,0
1,0.004532112,0.002862387,0,0.000238532,0,0,0.000238532,0,0,0,0,0,0,0.000238532,0,0,0,0,0,0,0,0,0,0,0.000238532,0.000238532,0,0,0,0,0,0,0,0,0,0.000238532,0.000238532,0,0,0.000238532,0,0,0,0,0,0,0.000238532
1,0.004532112,0.002862387,0,0.000238532,0,0,0.000238532,0,0,0,0,0,0.000238532,0.000238532,0,0,0,0,0,0,0,0,0,0,0.000238532,0.000238532,0,0,0,0,0,0,0,0,0,0.000238532,0.000238532,0,0,0.000238532,0,0,0,0,0,0,0.000238532
1,0.006738226,0.002788232,0,0,0.000232353,0,0,0,0,0,0,0,0.000232353,0,0.000232353,0,0,0,0.000232353,0,0,0.000232353,0,0,0.000232353,0,0,0,0,0,0,0.000232353,0,0,0.000232353,0,0.000232353,0,0,0.000232353,0,0,0,0,0,0.000232353,0
1,0.006738226,0.002788232,0,0,0.000232353,0,0,0,0,0,0,0,0.000232353,0,0.000232353,0,0,0,0.000232353,0,0,0.000232353,0,0,0.000232353,0,0,0,0,0,0,0.000232353,0,0,0.000232353,0,0.000232353,0,0,0.000232353,0,0,0,0,0,0.000232353,0
1,0.005339167,0.00160175,0,0,0.000177972,0,0.000177972,0,0,0,0,0,0.000177972,0,0.000177972,0.000177972,0,0,0,0,0.000177972,0,0,0,0.000177972,0,0,0,0,0,0,0.000177972,0,0,0,0.000177972,0,0,0.000177972,0,0,0,0,0,0,0.000177972,0
1,0.015117752,0.006184535,0,0.000687171,0,0,0.000687171,0,0,0,0,0,0,0,0.000687171,0.000687171,0,0,0,0,0,0,0,0,0.000687171,0.000687171,0,0,0,0,0,0,0,0,0,0,0.000687171,0,0,0,0,0.000687171,0,0,0,0.000687171,0
1,0.00586196,0.001701859,0,0,0.000189095,0,0,0,0,0,0,0,0.000189095,0,0.000189095,0,0,0.000189095,0,0,0,0,0.000189095,0,0.000189095,0,0,0,0,0,0,0.000189095,0,0,0,0,0.000189095,0,0,0.000189095,0,0,0.000189095,0,0,0,0
1,0.004633458,0.001813092,0,0,0.000201455,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0.000201455,0,0,0.000201455,0,0,0.000201455,0,0,0,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0,0,0,0,0,0.000201455
