Llave.Casilla,NOMBRE_ESTADO.x,iD_ESTADO.x,ID_DISTRITO.x,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,Ausentismo2,Porcentaje_Sustituciones,porc_Rechazos,porc_NE,porc_Aptos,Casillas_x_CAE_escaladas,A1,B1,C1,Federal1,Concurrente1,Rural1,Urbana1,Mixta1,porc_m_mesas,porc_h_mesas,porc_sin_e_mesas,porc_prim_mesas,porc_sec_mesas,porc_bach_mesas,porc_lic_mesas,porc_esp_mesas,edad_min_escalada_X_edo,edad_max_escalada_X_edo,edad_promedio_escalada_X_edo,edad_rango_escalada_X_edo,ciudadanos_antemesas_escalada_X_edo,edad_min_escalada_Nacional,edad_max_escalada_Nacional,edad_promedio_escalada_Nacional,edad_rango_escalada_Nacional,ciudadanos_antemesas_escalada_Nacional
9-DISTRITO FEDERAL-1-1075-B,DISTRITO FEDERAL,9,1,1075,1,B,0,0,0.222222222,0.260869565,0.217391304,0.202898551,0.714285714,0,1,0,0,1,0,1,0,0.666666667,0.333333333,0,0,0,0.444444444,0.444444444,0.111111111,0.42,0.897435897,0.844827586,0.844827586,1,0.381818182,0.897435897,0.765625,0.844827586,1
9-DISTRITO FEDERAL-1-1076-B,DISTRITO FEDERAL,9,1,1076,1,B,0,0,0.111111111,0.325301205,0.506024096,0.21686747,0.714285714,0,1,0,0,1,0,1,0,0.444444444,0.555555556,0,0,0.111111111,0.333333333,0.555555556,0,0.4,0.769230769,0.620689655,0.689655172,1,0.363636364,0.769230769,0.5625,0.689655172,1
9-DISTRITO FEDERAL-1-1077-B,DISTRITO FEDERAL,9,1,1077,1,B,0,0,0.555555556,0.37804878,0.701219512,0.25,0.857142857,0,0,1,0,1,0,1,0,0.888888889,0.111111111,0,0,0.111111111,0.444444444,0.444444444,0,0.44,0.666666667,0.637931034,0.517241379,1,0.4,0.666666667,0.578125,0.517241379,1
9-DISTRITO FEDERAL-1-1077-C1,DISTRITO FEDERAL,9,1,1077,1,C,0,0,0.333333333,0.37804878,0.701219512,0.25,0.857142857,0,1,0,0,1,0,1,0,0.888888889,0.111111111,0,0.111111111,0.111111111,0.444444444,0.333333333,0,0.4,0.884615385,0.724137931,0.844827586,1,0.363636364,0.884615385,0.65625,0.844827586,1
9-DISTRITO FEDERAL-1-821-B,DISTRITO FEDERAL,9,1,821,1,B,0,1,0,0.094076655,0.337979094,0.222996516,0.857142857,0,1,0,0,1,0,1,0,0.666666667,0.333333333,0,0.333333333,0.333333333,0.222222222,0.111111111,0,0.4,0.653846154,0.620689655,0.534482759,1,0.363636364,0.653846154,0.5625,0.534482759,1
9-DISTRITO FEDERAL-1-821-C1,DISTRITO FEDERAL,9,1,821,1,C,0,0,0,0.094076655,0.337979094,0.222996516,0.857142857,0,1,0,0,1,0,1,0,0.777777778,0.222222222,0,0.333333333,0.444444444,0.111111111,0.111111111,0,0.4,0.705128205,0.655172414,0.603448276,1,0.363636364,0.705128205,0.59375,0.603448276,1
9-DISTRITO FEDERAL-1-821-C2,DISTRITO FEDERAL,9,1,821,2,C,0,0,0.111111111,0.094076655,0.337979094,0.222996516,0.857142857,0,0,1,0,1,0,1,0,0.888888889,0.111111111,0,0.333333333,0.444444444,0.111111111,0.111111111,0,0.48,0.756410256,0.724137931,0.603448276,1,0.436363636,0.756410256,0.65625,0.603448276,1
9-DISTRITO FEDERAL-1-822-B,DISTRITO FEDERAL,9,1,822,1,B,0,1,0.666666667,0.258426966,0.43071161,0.179775281,0.857142857,0,0,1,0,1,0,1,0,0.666666667,0.333333333,0,0.111111111,0.444444444,0.333333333,0.111111111,0,0.54,0.884615385,0.706896552,0.724137931,1,0.490909091,0.884615385,0.640625,0.724137931,1
9-DISTRITO FEDERAL-1-822-C1,DISTRITO FEDERAL,9,1,822,1,C,0,0,0.222222222,0.258426966,0.43071161,0.179775281,0.857142857,0,0,1,0,1,0,1,0,0.555555556,0.444444444,0,0.111111111,0.333333333,0.444444444,0.111111111,0,0.36,0.653846154,0.586206897,0.568965517,1,0.327272727,0.653846154,0.53125,0.568965517,1
9-DISTRITO FEDERAL-1-822-C2,DISTRITO FEDERAL,9,1,822,2,C,0,1,0.444444444,0.258426966,0.43071161,0.179775281,0.857142857,0,0,1,0,1,0,1,0,0.555555556,0.444444444,0,0.222222222,0.555555556,0.222222222,0,0,0.4,0.564102564,0.534482759,0.413793103,1,0.363636364,0.564102564,0.484375,0.413793103,1
9-DISTRITO FEDERAL-1-823-B,DISTRITO FEDERAL,9,1,823,1,B,0,1,0.111111111,0.133603239,0.36437247,0.238866397,0.857142857,0,1,0,0,1,0,1,0,0.666666667,0.333333333,0,0.222222222,0.222222222,0.333333333,0.222222222,0,0.4,0.833333333,0.620689655,0.775862069,1,0.363636364,0.833333333,0.5625,0.775862069,1
9-DISTRITO FEDERAL-1-823-C1,DISTRITO FEDERAL,9,1,823,1,C,0,1,0.777777778,0.133603239,0.36437247,0.238866397,0.857142857,0,1,0,0,1,0,1,0,0.444444444,0.555555556,0,0.111111111,0,0.666666667,0.222222222,0,0.4,0.858974359,0.568965517,0.810344828,1,0.363636364,0.858974359,0.515625,0.810344828,1
9-DISTRITO FEDERAL-1-823-C2,DISTRITO FEDERAL,9,1,823,2,C,0,1,0.111111111,0.133603239,0.36437247,0.238866397,0.857142857,0,1,0,0,1,0,1,0,0.222222222,0.777777778,0,0.333333333,0.333333333,0.222222222,0.111111111,0,0.5,0.782051282,0.689655172,0.620689655,1,0.454545455,0.782051282,0.625,0.620689655,1
9-DISTRITO FEDERAL-1-824-B,DISTRITO FEDERAL,9,1,824,1,B,0,0,0.111111111,0.144736842,0.496710526,0.217105263,0.857142857,0,0,1,0,1,0,1,0,0.555555556,0.444444444,0,0.333333333,0.444444444,0,0.222222222,0,0.46,0.679487179,0.603448276,0.517241379,1,0.418181818,0.679487179,0.546875,0.517241379,1
9-DISTRITO FEDERAL-1-824-C1,DISTRITO FEDERAL,9,1,824,1,C,0,1,0.333333333,0.144736842,0.496710526,0.217105263,0.857142857,0,0,1,0,1,0,1,0,0.555555556,0.444444444,0,0.222222222,0.333333333,0.333333333,0.111111111,0,0.38,0.615384615,0.551724138,0.5,1,0.345454545,0.615384615,0.5,0.5,1
9-DISTRITO FEDERAL-1-824-C2,DISTRITO FEDERAL,9,1,824,2,C,0,1,0.222222222,0.144736842,0.496710526,0.217105263,0.857142857,0,1,0,0,1,0,1,0,0.666666667,0.333333333,0,0.444444444,0.222222222,0.111111111,0.222222222,0,0.36,0.846153846,0.655172414,0.827586207,1,0.327272727,0.846153846,0.59375,0.827586207,1
9-DISTRITO FEDERAL-1-824-C3,DISTRITO FEDERAL,9,1,824,3,C,0,1,0.111111111,0.144736842,0.496710526,0.217105263,0.857142857,0,0,1,0,1,0,1,0,0.555555556,0.444444444,0.111111111,0.333333333,0.333333333,0.222222222,0,0,0.56,0.833333333,0.879310345,0.637931034,1,0.509090909,0.833333333,0.796875,0.637931034,1
9-DISTRITO FEDERAL-1-825-B,DISTRITO FEDERAL,9,1,825,1,B,0,1,0.888888889,0.145251397,0.357541899,0.251396648,0.714285714,0,1,0,0,1,0,1,0,0.555555556,0.444444444,0,0.111111111,0.222222222,0.333333333,0.333333333,0,0.36,0.615384615,0.517241379,0.517241379,1,0.327272727,0.615384615,0.46875,0.517241379,1
9-DISTRITO FEDERAL-1-825-C1,DISTRITO FEDERAL,9,1,825,1,C,0,1,0.222222222,0.145251397,0.357541899,0.251396648,0.714285714,1,0,0,0,1,0,1,0,0.444444444,0.555555556,0,0.333333333,0.333333333,0.222222222,0.111111111,0,0.44,0.807692308,0.672413793,0.706896552,1,0.4,0.807692308,0.609375,0.706896552,1
9-DISTRITO FEDERAL-1-826-B,DISTRITO FEDERAL,9,1,826,1,B,0,0,0.222222222,0.066298343,0.464088398,0.270718232,0.714285714,0,1,0,0,1,0,1,0,0.333333333,0.666666667,0,0.111111111,0.444444444,0.444444444,0,0,0.42,0.756410256,0.637931034,0.655172414,1,0.381818182,0.756410256,0.578125,0.655172414,1
9-DISTRITO FEDERAL-1-826-C1,DISTRITO FEDERAL,9,1,826,1,C,0,0,0.333333333,0.066298343,0.464088398,0.270718232,0.714285714,0,0,1,0,1,0,1,0,0.777777778,0.222222222,0,0.222222222,0.222222222,0.444444444,0.111111111,0,0.4,0.628205128,0.603448276,0.5,1,0.363636364,0.628205128,0.546875,0.5,1
9-DISTRITO FEDERAL-1-827-B,DISTRITO FEDERAL,9,1,827,1,B,0,0,0.111111111,0.235576923,0.610576923,0.235576923,0.714285714,0,1,0,0,1,0,1,0,0.666666667,0.333333333,0,0,0.555555556,0.111111111,0.333333333,0,0.44,0.628205128,0.568965517,0.465517241,1,0.4,0.628205128,0.515625,0.465517241,1
